"","PMID","design","host","doi","title"
"1",32681566,"laboratory experiment","Mus musculus","10.1111/aji.13307","Correlation of fecal metabolomics and gut microbiota in mice with endometriosis"
"2",23724144,"laboratory experiment","Rattus norvegicus","10.1371/journal.pone.0065465","Gut microbiota composition in male rat models under different nutritional status and physical activity and its association with serum leptin and ghrelin levels"
"3",28199741,"laboratory experiment","Mus musculus","10.1111/jpi.12399","Melatonin prevents obesity through modulation of gut microbiota in mice"
"4",29793531,"laboratory experiment","Mus musculus","10.1186/s40168-018-0476-6","Maternal omega-3 fatty acids regulate offspring obesity through persistent modulation of gut microbiota"
"5",31753468,"laboratory experiment","Mus musculus","10.1016/j.envres.2019.108913","Effects of inhaled air pollution on markers of integrity, inflammation, and microbiota profiles of the intestines in Apolipoprotein E knockout mice"
"6",28390422,"laboratory experiment","Mus musculus","10.1186/s40168-017-0258-6","High-fat feeding rather than obesity drives taxonomical and functional changes in the gut microbiota in mice"
"7",30656437,"time series / longitudinal observational","Rattus norvegicus","10.1186/s11671-018-2834-5","Exposure to Titanium Dioxide Nanoparticles During Pregnancy Changed Maternal Gut Microbiota and Increased Blood Glucose of Rat"
"8",23638009,"laboratory experiment","Mus musculus","10.1371/journal.pone.0062220","Environmental particulate matter induces murine intestinal inflammatory responses and alters the gut microbiome"
"9",31935575,"laboratory experiment","Mus musculus","10.1016/j.chemosphere.2020.125879","Effects of PM<sub>2.5</sub> exposure during gestation on maternal gut microbiota and pregnancy outcomes"
"10",32544691,"laboratory experiment","Mus musculus","10.1016/j.scitotenv.2020.139982","Sex-specific effects of PM<sub>2.5</sub> maternal exposure on offspring's serum lipoproteins and gut microbiota"
"11",30562947,"laboratory experiment","Mus musculus","10.3390/ijms19124079","A Metabologenomic Approach Reveals Changes in the Intestinal Environment of Mice Fed on American Diet"
"12",31037294,"laboratory experiment","Mus musculus","10.1093/humrep/dez041","Antibiotic therapy with metronidazole reduces endometriosis disease progression in mice: a potential role for gut microbiota"
"13",30466372,"laboratory experiment","Rattus norvegicus","10.1080/1028415X.2018.1537169","An intermittent hypercaloric diet alters gut microbiota, prefrontal cortical gene expression and social behaviours in rats"
"14",23056268,"laboratory experiment","Mus musculus","10.1371/journal.pone.0046231","Gut microbiota composition is correlated to grid floor induced stress and behavior in the BALB/c mouse"
"15",27829577,"laboratory experiment","Rattus norvegicus","10.5056/jnm16105","Chronic Early-life Stress in Rat Pups Alters Basal Corticosterone, Intestinal Permeability, and Fecal Microbiota at Weaning: Influence of Sex"
"16",31884727,"laboratory experiment","Mus musculus","10.1002/mbo3.982","Microbiota changes in a pediatric acute lymphocytic leukemia mouse model"
"17",33804656,"randomized controlled trial","Mus musculus","10.3390/microorganisms9030647","Dynamics of Gut Microbiota Recovery after Antibiotic Exposure in Young and Old Mice (A Pilot Study)"
"18",29783199,"laboratory experiment","Mus musculus","10.1016/j.envpol.2018.04.130","Inhalational exposure to particulate matter air pollution alters the composition of the gut microbiome"
"19",31559135,"laboratory experiment","Mus musculus","10.1002/advs.201900972","Probiotics Ameliorate Colon Epithelial Injury Induced by Ambient Ultrafine Particles Exposure"
"20",29483910,"laboratory experiment","Mus musculus","10.3389/fimmu.2018.00182","Respiratory Disease following Viral Lung Infection Alters the Murine Gut Microbiota"
"21",28211537,"laboratory experiment","Mus musculus","10.1038/srep42906","Ambient Ultrafine Particle Ingestion Alters Gut Microbiota in Association with Increased Atherogenic Lipid Metabolites"
"22",29665823,"laboratory experiment","Mus musculus","10.1186/s12989-018-0252-6","Exposure to concentrated ambient PM<sub>2.5</sub> alters the composition of gut microbiota in a murine model"
"23",31141574,"laboratory experiment","Rattus norvegicus","10.1371/journal.pone.0217553","High fat diet alters gut microbiota but not spatial working memory in early middle-aged Sprague Dawley rats"
"24",32251484,"laboratory experiment","Mus musculus","10.1371/journal.pone.0230932","Effects of sex and chronic cigarette smoke exposure on the mouse cecal microbiome"
"25",30643289,"laboratory experiment","Mus musculus","10.1038/s41591-018-0324-z","Healthy infants harbor intestinal bacteria that protect against food allergy"
