"","PMID","design","host","doi","title"
"1",31006170,"prospective cohort","Homo sapiens","10.1111/1471-0528.15799","Specific class of intrapartum antibiotics relates to maturation of the infant gut microbiota: a prospective cohort study"
"2",27609659,"prospective cohort","Homo sapiens","10.1016/j.jaci.2016.07.029","Skin microbiome before development of atopic dermatitis: Early colonization with commensal staphylococci at 2 months is associated with a lower risk of atopic dermatitis at 1 year"
"3",20844065,"time series / longitudinal observational","Homo sapiens","10.3945/ajcn.2010.29877","Effect of mother's weight on infant's microbiota acquisition, composition, and activity during early infancy: a prospective follow-up study initiated in early pregnancy"
"4",23339708,"prospective cohort","Homo sapiens","10.1186/1471-2180-13-12","Microarray analysis reveals marked intestinal microbiota aberrancy in infants having eczema compared to healthy children in at-risk for atopic disease"
"5",30534614,"time series / longitudinal observational","Homo sapiens","10.1038/s42003-018-0221-5","Pre-obese children's dysbiotic gut microbiome and unhealthy diets may predict the development of obesity"
"6",30463989,"time series / longitudinal observational","Homo sapiens","10.1158/1940-6207.CAPR-18-0233","Evaluation of the Associations Between Cervical Microbiota and HPV Infection, Clearance, and Persistence in Cytologically Normal Women"
"7",32105635,"prospective cohort","Homo sapiens","10.1016/j.isci.2020.100884","Electronic Cigarette Aerosol Modulates the Oral Microbiome and Increases Risk of Infection"
"8",32214382,"time series / longitudinal observational","Homo sapiens","10.1371/journal.ppat.1008376","Cervicovaginal microbiome and natural history of HPV in a longitudinal study"
"9",30314304,"prospective cohort","Homo sapiens","10.3390/nu10101481","Microbiota and Derived Parameters in Fecal Samples of Infants with Non-IgE Cow's Milk Protein Allergy under a Restricted Diet"
"10",30813950,"prospective cohort","Homo sapiens","10.1186/s40168-019-0645-2","Environmental toxicants in breast milk of Norwegian mothers and gut bacteria composition and metabolites in their infants at 1 month"
"11",29592876,"time series / longitudinal observational","Homo sapiens","10.1182/bloodadvances.2018017731","Third-party fecal microbiota transplantation following allo-HCT reconstitutes microbiome diversity"
"12",27838347,"prospective cohort","Homo sapiens","10.1016/j.jaci.2016.08.055","Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment"
"13",27306058,"time series / longitudinal observational","Homo sapiens","10.1186/s13073-016-0312-1","Roux-en-Y gastric bypass surgery of morbidly obese patients induces swift and persistent changes of the individual gut microbiota"
"14",31337807,"prospective cohort","Homo sapiens","10.1038/s41598-019-46964-5","Impact of intrapartum and postnatal antibiotics on the gut microbiome and emergence of antimicrobial resistance in infants"
"15",30117171,"prospective cohort","Homo sapiens","10.1002/pros.23713","A prospective study to examine the association of the urinary and fecal microbiota with prostate cancer diagnosis after transrectal biopsy of the prostate using 16sRNA gene analysis"
"16",31370796,"prospective cohort","Homo sapiens","10.1186/s12879-019-4279-6","Association between the vaginal microbiome and high-risk human papillomavirus infection in pregnant Chinese women"
"17",30341386,"time series / longitudinal observational","Homo sapiens","10.1038/s41598-018-33750-y","Association of cervical microbial community with persistence, clearance and negativity of Human Papillomavirus in Korean women: a longitudinal study"
"18",24402367,"prospective cohort","Homo sapiens","10.1007/s00248-013-0355-4","16S rRNA gene pyrosequencing reveals shift in patient faecal microbiota during high-dose chemotherapy as conditioning regimen for bone marrow transplantation"
"19",28733895,"prospective cohort","Homo sapiens","10.1007/s00277-017-3069-8","Clinical impact of pre-transplant gut microbial diversity on outcomes of allogeneic hematopoietic stem cell transplantation"
"20",27121964,"prospective cohort","Homo sapiens","10.1186/s13073-016-0301-4","Pretreatment gut microbiome predicts chemotherapy-related bloodstream infection"
"21",26919743,"time series / longitudinal observational","Homo sapiens","10.1371/journal.pone.0149564","Characterization of the Gut Microbial Community of Obese Patients Following a Weight-Loss Intervention Using Whole Metagenome Shotgun Sequencing"
"22",30728029,"time series / longitudinal observational","Homo sapiens","10.1186/s12905-019-0727-0","Cervical microbiota in women with cervical intra-epithelial neoplasia, prior to and after local excisional treatment, a Norwegian cohort study"
"23",30365522,"prospective cohort","Homo sapiens","10.1371/journal.pone.0206366","Distinct mucosal microbial communities in infants with surgical necrotizing enterocolitis correlate with age and antibiotic exposure"
"24",24748167,"time series / longitudinal observational","Homo sapiens","10.1371/journal.pone.0095476","Short-term effect of antibiotics on human gut microbiota"
"25",26971496,"prospective cohort","Homo sapiens","10.1007/s00253-016-7410-2","Evaluation of the effects of intrapartum antibiotic prophylaxis on newborn intestinal microbiota using a sequencing approach targeted to multi hypervariable 16S rDNA regions"
"26",30701077,"time series / longitudinal observational","Homo sapiens","10.1038/s41522-018-0073-2","The ketogenic diet influences taxonomic and functional composition of the gut microbiota in children with severe epilepsy"
"27",25710027,"time series / longitudinal observational","Homo sapiens","10.1155/2015/806248","Effects of surgical and dietary weight loss therapy for obesity on gut microbiota composition and nutrient absorption"
"28",31676759,"prospective cohort","Homo sapiens","10.1038/s41467-019-12989-7","Infant airway microbiota and topical immune perturbations in the origins of childhood asthma"
"29",32488167,"prospective cohort","Homo sapiens","10.1038/s41396-020-0686-3","Ecological succession in the vaginal microbiota during pregnancy and birth"
"30",32056780,"prospective cohort","Homo sapiens","10.1016/j.jad.2019.12.020","The gut microbiota is associated with psychiatric symptom severity and treatment outcome among individuals with serious mental illness"
