"","PMID","design","host","doi","title"
"1",29307330,"randomized controlled trial","Homo sapiens","10.1017/S0007114517003440","Habitual dietary fibre intake influences gut microbiota response to an inulin-type fructan prebiotic: a randomised, double-blind, placebo-controlled, cross-over, human intervention study"
"2",23038174,"randomized controlled trial","Homo sapiens","10.1038/ismej.2012.104","Gut microbiome composition is linked to whole grain-induced immunological improvements"
"3",27543211,"randomized controlled trial","Homo sapiens","10.1016/j.jaad.2016.04.066","Cutaneous microbiome effects of fluticasone propionate cream and adjunctive bleach baths in childhood atopic dermatitis"
"4",30478001,"randomized controlled trial","Homo sapiens","10.1016/j.ebiom.2018.11.035","Short- and long-term impacts of azithromycin treatment on the gut microbiota in children: A double-blind, randomized, placebo-controlled trial"
"5",24296500,"randomized controlled trial","Homo sapiens","10.1128/AEM.03549-13","Microbial enterotypes, inferred by the prevotella-to-bacteroides ratio, remained stable during a 6-month randomized controlled diet intervention with the new nordic diet"
"6",28388647,"randomized controlled trial","Homo sapiens","10.1371/journal.pone.0173802","Impact of probiotic Saccharomyces boulardii on the gut microbiome composition in HIV-treated patients: A double-blind, randomised, placebo-controlled trial"
"7",25922405,"randomized controlled trial","Homo sapiens","10.1093/cid/civ137","Determining the Long-term Effect of Antibiotic Administration on the Human Normal Intestinal Microbiota Using Culture and Pyrosequencing Methods"
"8",30279332,"randomized controlled trial","Homo sapiens","10.3390/nu10101402","Impact of Agaricus bisporus Mushroom Consumption on Gut Health Markers in Healthy Adults"
"9",31528836,"randomized controlled trial","Homo sapiens","10.1093/cdn/nzz079","Almond Snacking for 8 wk Increases Alpha-Diversity of the Gastrointestinal Microbiome and Decreases <i>Bacteroides fragilis</i> Abundance Compared with an Isocaloric Snack in College Freshmen"
"10",27411009,"randomized controlled trial","Homo sapiens","10.1016/j.cmet.2016.06.016","Effects of Gut Microbiota Manipulation by Antibiotics on Host Metabolism in Obese Humans: A Randomized Double-Blind Placebo-Controlled Trial"
"11",29489859,"randomized controlled trial","Homo sapiens","10.1371/journal.pone.0192443","Emollient use alters skin barrier and microbes in infants at risk for developing atopic dermatitis"
"12",30139999,"randomized controlled trial","Homo sapiens","10.1038/s41598-018-30783-1","Predictability and persistence of prebiotic dietary supplementation in a healthy human cohort"
"13",26258571,"randomized controlled trial","Homo sapiens","10.1097/QAI.0000000000000784","Reduced Levels of D-dimer and Changes in Gut Microbiota Composition After Probiotic Intervention in HIV-Infected Individuals on Stable ART"
"14",31201890,"randomized controlled trial","Homo sapiens","10.1016/j.jaci.2019.05.035","Distinct nasal airway bacterial microbiotas differentially relate to exacerbation in pediatric patients with asthma"
"15",30944164,"randomized controlled trial","Homo sapiens","10.1126/scitranslmed.aav0537","Cotrimoxazole reduces systemic inflammation in HIV infection by altering the gut microbiome and immune activation"
"16",25487798,"randomized controlled trial","Homo sapiens","10.1128/AAC.04506-14","Microbiome changes in healthy volunteers treated with GSK1322322, a novel antibiotic targeting bacterial peptide deformylase"
"17",26394008,"randomized controlled trial","Homo sapiens","10.1038/ismej.2015.151","Lactobacillus rhamnosus GG-supplemented formula expands butyrate-producing bacterial strains in food allergic infants"
"18",22713265,"randomized controlled trial","Homo sapiens","10.4161/gmic.21009","IBS-associated phylogenetic unbalances of the intestinal microbiota are not reverted by probiotic supplementation"
"19",30644740,"randomized controlled trial","Homo sapiens","10.1021/acs.jafc.8b05408","Daily Consumption of Orange Juice from Citrus sinensis L. Osbeck cv. Cara Cara and cv. Bahia Differently Affects Gut Microbiota Profiling as Unveiled by an Integrated Meta-Omics Approach"
"20",29470389,"randomized controlled trial","Homo sapiens","10.3390/nu10020244","A Walnut-Enriched Diet Affects Gut Microbiome in Healthy Caucasian Subjects: A Randomized, Controlled Trial"
"21",33804656,"randomized controlled trial","Mus musculus","10.3390/microorganisms9030647","Dynamics of Gut Microbiota Recovery after Antibiotic Exposure in Young and Old Mice (A Pilot Study)"
"22",32708743,"randomized controlled trial","Homo sapiens","10.3390/nu12072112","Effect of a Nutritional Intervention on the Intestinal Microbiota of Vertically HIV-Infected Children: The Pediabiota Study"
"23",29186529,"randomized controlled trial","Homo sapiens","10.1093/infdis/jix604","Protection of the Human Gut Microbiome From Antibiotics"
